Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2025-12-09,1529.4000244140625,1542.5,1520.0999755859375,1540.300048828125,11503971
2025-12-10,1536.9000244140625,1547.5,1531.4000244140625,1534.0,7991629
2025-12-11,1545.0,1550.0,1524.0,1536.9000244140625,4706197
2025-12-12,1556.5,1559.800048828125,1546.0999755859375,1550.800048828125,5106655
2025-12-15,1556.199951171875,1558.5999755859375,1546.5,1551.199951171875,5774543
2025-12-16,1542.300048828125,1551.699951171875,1538.800048828125,1545.0,11731856
2025-12-17,1544.4000244140625,1550.0,1539.300048828125,1550.0,7116649
2025-12-18,1544.4000244140625,1551.5,1535.199951171875,1535.199951171875,6580829
2025-12-19,1565.0999755859375,1574.199951171875,1551.0,1554.4000244140625,13937275
2025-12-22,1575.4000244140625,1577.5,1565.300048828125,1573.5,10184852
2025-12-23,1570.699951171875,1580.9000244140625,1568.0999755859375,1580.9000244140625,7506564
2025-12-24,1558.199951171875,1575.699951171875,1553.5999755859375,1572.699951171875,8815745
2025-12-26,1559.199951171875,1561.0,1554.300048828125,1554.699951171875,2311495
2025-12-29,1545.5999755859375,1558.0999755859375,1543.5999755859375,1554.9000244140625,5972105
2025-12-30,1539.800048828125,1553.5999755859375,1537.800048828125,1547.0,8815884
2025-12-31,1570.4000244140625,1577.0,1541.0,1541.0,5771830
2026-01-01,1575.5999755859375,1592.5,1571.0999755859375,1573.699951171875,6408128
2026-01-02,1592.300048828125,1594.5999755859375,1578.199951171875,1580.0,6602230
2026-01-05,1578.0999755859375,1611.800048828125,1575.300048828125,1593.0,8704973
2026-01-06,1507.5999755859375,1569.0,1496.300048828125,1569.0,27417125
2026-01-07,1504.199951171875,1520.0,1498.0,1510.0,11199340
2026-01-08,1470.5999755859375,1503.9000244140625,1468.800048828125,1500.0,16518684
2026-01-09,1475.300048828125,1479.9000244140625,1465.0,1465.0,8335311
2026-01-12,1483.199951171875,1485.300048828125,1451.0,1475.300048828125,8883745
2026-01-13,1452.800048828125,1485.800048828125,1444.699951171875,1485.0,13499760
2026-01-14,1458.800048828125,1467.0,1440.199951171875,1444.0,8321764
2026-01-15,1458.800048828125,1458.800048828125,1458.800048828125,1458.800048828125,0
2026-01-16,1457.9000244140625,1480.0,1455.0999755859375,1458.800048828125,17167161
2026-01-19,1413.5999755859375,1450.5999755859375,1403.300048828125,1450.5999755859375,20392765
2026-01-20,1394.0,1416.0,1390.0,1410.699951171875,13189498
2026-01-21,1404.5999755859375,1412.9000244140625,1373.0,1389.5,17352720
2026-01-22,1402.5,1419.5,1395.0,1410.0999755859375,15721693
2026-01-23,1386.0999755859375,1407.0,1381.0,1401.800048828125,9837802
2026-01-27,1380.5,1391.5999755859375,1368.0,1380.0,26302396
2026-01-28,1396.699951171875,1409.9000244140625,1384.9000244140625,1385.0,11121657
2026-01-29,1391.0,1402.9000244140625,1384.0,1402.9000244140625,20846683
2026-01-30,1395.4000244140625,1398.0,1378.5,1382.5999755859375,11239835
2026-02-02,1390.4000244140625,1392.9000244140625,1335.5,1340.0,15711165
2026-02-03,1437.0999755859375,1489.5,1430.199951171875,1473.9000244140625,25456171
2026-02-04,1456.800048828125,1464.0,1440.300048828125,1444.0,8333387
2026-02-05,1443.4000244140625,1461.5,1439.5,1457.0,11763658
2026-02-06,1450.800048828125,1452.800048828125,1433.5,1441.5,8277304
2026-02-09,1461.5999755859375,1465.9000244140625,1453.0,1458.0,5775864
2026-02-10,1458.5,1471.0,1452.199951171875,1471.0,10259630
2026-02-11,1468.699951171875,1470.0,1453.5999755859375,1459.5999755859375,7106877
2026-02-12,1448.9000244140625,1473.0,1445.5,1470.0,11135399
2026-02-13,1419.5999755859375,1450.699951171875,1416.300048828125,1445.5,10755693
2026-02-16,1437.0999755859375,1439.5999755859375,1409.300048828125,1420.0999755859375,5896514
2026-02-17,1423.0,1431.800048828125,1418.5999755859375,1431.0999755859375,10731630
2026-02-18,1441.300048828125,1442.0999755859375,1419.199951171875,1427.0,5521096
2026-02-19,1409.5,1443.0,1400.0,1443.0,11884664
2026-02-20,1419.4000244140625,1427.4000244140625,1406.0999755859375,1409.5,8177670
2026-02-23,1428.0,1434.9000244140625,1418.300048828125,1425.0,7758856
2026-02-24,1428.800048828125,1433.300048828125,1415.0,1425.300048828125,12529409
2026-02-25,1398.5,1440.5,1393.5,1435.0,10728792
2026-02-26,1406.800048828125,1412.9000244140625,1391.9000244140625,1398.5,16683858
2026-02-27,1393.9000244140625,1410.4000244140625,1388.0999755859375,1398.0,12031440
2026-03-02,1358.0,1378.5999755859375,1341.5,1375.5,23728722
2026-03-04,1345.0,1352.800048828125,1307.0,1330.0,32495007
2026-03-05,1389.4000244140625,1399.0,1353.0999755859375,1353.0999755859375,25957532
2026-03-06,1404.800048828125,1424.300048828125,1390.300048828125,1396.5,19311971
2026-03-09,1424.0,1429.4000244140625,1370.0,1375.0,24870822
